symbol,category,ai_strategy,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,capex_2025_B,capex_2026_B,ai_pct_of_capex,est_ai_spend_2026_B,build_or_rent,value_chain_rank
NVDA,Infrastructure,Sells AI hardware,131.52,43.67,2.92,-21.6,,,,,N/A,1
META,AI Builder,"Proprietary (Llama, MTIA chips)",73.74,35.05,1.99,-25.92,72.2,125.0,95,118.8,Build,2
GOOGL,AI Builder,"Proprietary (Gemini, TPUs)",52.41,27.62,1.753,-24.2,75.0,180.0,80,144.0,Build,2
MSFT,AI Integrator,Partnership (OpenAI),17.51,22.07,0.612,-30.21,80.0,145.0,60,87.0,Rent,3
AMZN,AI Integrator,Partnership (Anthropic),41.53,27.23,1.378,-22.41,124.5,200.0,40,80.0,Rent,3
CRM,Legacy Tech,AI features (Einstein),14.26,36.62,0.28,-51.15,,,,,N/A,5
ORCL,Legacy Tech,Cloud/AI pivot,28.67,41.36,0.596,-50.12,,,,,N/A,5
ADBE,Legacy Tech,AI-disrupted (Firefly),-6.29,34.24,-0.301,-63.6,,,,,N/A,5
AAPL,Control,Late mover (Apple Intelligence),26.08,20.57,1.074,-19.71,,,,,N/A,4
TSLA,Control,Autonomous driving / robotics,57.56,57.14,0.937,-35.95,,,,,N/A,4
